Subject;RHI Index;PD;DPSE
1;2;-141,7585647;0,632313735
2;3,666666667;-374,5809991;3,239706258
3;0,833333333;30,02433004;4,273587281
4;0,333333333;-58,63984737;-2,798140312
5;3,666666667;23,05841759;-2,896272634
6;0,666666667;25,02326709;0,683373219
7;4;248,9664204;-3,188085967
8;1,333333333;-424,4233498;-2,161950114
9;-0,333333333;64,4047144;-2,283446416
10;0;17,50852185;-0,951789117
11;0,833333333;-20,607582;3,869794769
12;0,833333333;93,32221392;-8,680560401
13;-1,333333333;-105,4999207;3,308759319
14;-1,166666667;0;-1,951348968
15;0,166666667;55,9353672;-0,149401711
16;1,833333333;58,63984737;-3,085772227
17;1,666666667;-30,9409769;1,02281669
18;-0,166666667;-51,14906297;-1,524407492
19;0,333333333;-162,3661467;0,879711472
20;1,5;609,1762281;-1,328137046
21;3,833333333;61,87436243;-7,272614186
22;-0,166666667;-628,2548035;-1,947433232
23;1;204,5392976;1,880095323
24;2;-102,4723204;-1,277327903
25;-1,333333333;0;4,017351113
26;1;-131,0878377;1,240605825
27;3,166666667;131,0878377;-3,84228698
28;3;16,52907588;-8,680539137
29;-0,666666667;25,02326709;-2,040670193
30;3,5;0;2,401482413
31;1,833333333;85,95969724;4,355514634
32;-1,5;137,1087602;-2,506775719
33;-0,833333333;-25,02326709;2,783072694
34;3,333333333;-135,2960657;-3,039342683
35;2,833333333;0;2,874193104
36;2,333333333;-186,4623363;1,119336167
37;3;-39,30736863;-1,688456509
38;4,5;-30,02433004;0,782755697
39;2,166666667;234,9034719;-1,68706216
40;0;-72,08509219;-1,64341407
41;-1,333333333;184,9125028;2,265726105
42;2,666666667;35,55655961;-3,293757952
43;3;-23,05841759;-2,11869243
44;1,166666667;313,3723847;-1,486137757
45;0,166666667;-98,35487822;1,880039541
46;-1,666666667;0;4,602358228
47;-0,333333333;-35,07234783;-4,856425748
48;0,666666667;-112,0854931;-4,615071938
49;0,166666667;51,14906297;2,448806651
50;-1,5;-137,1087602;-0,335855297
51;-0,666666667;98,21088807;12,09551158
52;0;118,1536712;-4,516215399
53;-1,333333333;23,05841759;-1,722506373
54;0,5;0;-4,264549238
55;-1,5;0;-6,97201511
56;-0,666666667;69,24323189;-6,413327814
57;1,666666667;41,97385181;7,418925462
58;3,166666667;166,9805859;-2,099518939
59;-0,833333333;-43,5476766;1,534112985
60;1;0;-1,575658002
61;0;26,12579588;3,959876108
62;1,5;40,50809261;-0,426985046
63;-2,666666667;-206,2879545;-1,292318146
64;-0,166666667;39,30736863;3,184588808
65;2,5;-26,47168577;-4,52598573
66;0;-274,0650161;0,730698375
67;1,666666667;422,0737424;-2,35179852
68;-0,666666667;0;0,552417918
69;4;-24,00340752;-3,226522982
1;2;-45,23982437;5,407253128
2;1,833333333;248,3258439;-7,770982992
3;2;-30,02433004;-1,308242506
4;0,833333333;49,0266746;0,19031644
5;1,833333333;0;2,307993308
6;3,666666667;-259,2777797;-2,794653333
7;4,666666667;-409,5796499;5,442530444
8;2,666666667;-68,30866511;8,25395488
9;1,333333333;-126,3549262;-0,802644044
10;1,333333333;207,0939095;3,765022059
11;3,333333333;98,21088807;1,933603699
12;0,833333333;134,7383778;-1,975158466
13;-0,166666667;-33,23631728;-0,998967449
14;1,333333333;58,63984737;-5,517788705
15;2,166666667;-144,7041067;-1,464551688
16;3;111,2170837;-2,043893721
17;3,5;0;7,095385144
18;5;-55,15715421;-13,23960325
19;3,666666667;-90,60950171;-1,786856898
20;2,833333333;-461,5441437;1,752922242
21;3;55,9353672;6,157675975
22;3;176,2636245;-2,256795943
23;3,5;78,46891284;0,10554022
24;3,333333333;-313,3723847;4,003151455
25;2,166666667;-162,3661467;4,025915114
26;2,333333333;-18,62440427;-0,25410109
27;5;-85,95969724;4,544039618
28;2,666666667;123,0381403;2,328658857
29;1,5;67,12495887;4,0711172
30;3;25,02326709;-5,101022492
31;3,666666667;78,46891284;1,144351122
32;2,833333333;30,02433004;5,989546455
33;2;0;-2,33978573
34;4;41,97385181;-4,647163022
35;2,5;90,1993652;-2,914546309
36;2,833333333;76,39544155;0,686062891
37;3;99,86818293;-0,581551908
38;4;45,23982437;2,26191484
39;4,166666667;238,2020245;-5,842312631
40;3,333333333;24,00340752;-3,549063124
41;1;23,05841759;0,836066485
42;3,5;41,97385181;-7,899804185
43;5;85,95969724;-1,659651464
44;1,833333333;0;-8,547926245
45;2,5;0;-5,839519804
46;1;-131,1175943;-1,488474295
47;1;118,1536712;6,55276646
48;2,166666667;206,2879545;7,496026447
49;2,166666667;66,60609419;0,907143467
50;2,833333333;168,668278;-2,852816622
51;2,333333333;-47,0618251;0,308873404
52;2,833333333;-58,63984737;9,961262739
53;1,333333333;300,0021439;-8,432785614
54;1,5;237,6439259;0,558615347
55;1,666666667;-78,37323631;4,774040264
56;1,666666667;43,5476766;7,689731988
57;4,333333333;107,1141868;2,709498725
58;2,333333333;61,58384786;-6,1709653
59;5;37,8651437;1,031209965
60;3,333333333;25,02326709;-2,444438051
61;2,333333333;-53,44564575;-1,551907964
62;2,166666667;187,0307758;-1,690169704
63;2;136,9562559;2,739691193
64;4,333333333;51,14906297;-8,986085465
65;1,666666667;13,10777948;0,270950475
66;1,166666667;37,08807292;-2,632294306
67;3,166666667;122,5803583;3,153514905
68;4,333333333;-30,02433004;-2,722232901
69;4;0;13,2337516
1;3;20,607582;-6,78243391
2;2,5;99,86818293;-0,72412555
3;4;-61,58384786;1,756898188
4;0,333333333;-72,08509219;4,643969197
5;2,333333333;0;1,206468776
6;4;154,1462553;-3,472288203
7;3,5;389,2026769;-0,455648519
8;-0,166666667;0;-3,56571521
9;-0,166666667;81,11510185;-1,281786376
10;1,5;189,6859965;1,454801479
11;3,833333333;221,5423445;-13,16754769
12;2,333333333;142,9386509;2,290232114
13;3,166666667;133,7246248;-2,582142401
14;1,5;292,519836;6,690781668
15;3,5;33,23631728;-11,94451284
16;3;111,4677894;-4,185057523
17;3,5;69,24323189;-1,185225625
18;4,166666667;137,1087602;9,983471803
19;4;218,3015139;-4,050718979
20;1,833333333;50,86213492;1,881424637
21;2,166666667;55,9353672;-0,439607117
22;1,5;63,69304331;3,686127631
23;3,833333333;0;1,536695112
24;2,833333333;0;-2,428367533
25;2,5;-218,3015139;-4,727360025
26;2,166666667;-168,982738;1,041644336
27;3,333333333;0;1,556881991
28;2,666666667;107,1141868;0,697080521
29;0,166666667;-99,86818293;-1,283492185
30;2,833333333;107,0844302;-0,949390883
31;2,166666667;-94,82016514;-3,97979099
32;5,333333333;20,607582;-5,208545857
33;3,5;20,607582;-5,886904103
34;4;40,50809261;5,199225443
35;3,5;162,6273231;2,205239388
36;2,833333333;85,95969724;-0,267175125
37;4,166666667;-292,519836;-3,430234064
38;4;254,1557346;-12,04726885
39;4,166666667;-133,7246248;-1,294094418
40;3,666666667;168,982738;-2,107637728
41;1;-111,2170837;-5,517217305
42;2,666666667;93,32221392;13,39266242
43;4;0;5,722476358
44;2;617,8299785;5,277650821
45;1,833333333;262,2233217;-1,548580831
46;1,5;81,11510185;-4,842134472
47;2,166666667;-197,6996709;-1,740772056
48;3,166666667;296,0545491;-7,984683559
49;3,666666667;150,3583337;4,928330017
50;2,833333333;0;3,221488873
51;3,333333333;64,1552586;-4,656098342
52;3,5;30,02433004;-1,911911316
53;0,833333333;125,5307379;2,67351325
54;1,166666667;-122,5803583;4,351073317
55;1,833333333;-152,2991126;-7,852520431
56;2,166666667;-111,2170837;1,486209878
57;3;120,3922949;-9,827337967
58;2,333333333;99,86818293;5,228145961
59;5;19,90051061;-4,008042802
60;2,166666667;66,60609419;0,69051738
61;-0,166666667;-120,3922949;-6,135303541
62;2,333333333;-95,814745;-0,431746469
63;2,5;195,5961032;-0,305849834
64;1,666666667;210,1200663;2,740585298
65;1,833333333;14,23217995;2,123346511
66;1;0;-3,417188068
67;3;239,2245455;-9,14676464
68;3,333333333;0;3,299724295
69;4;55,9353672;-0,87265046
