Line;Subjects;Synchronicity;Elongation;Oder;RHI Index;PD;DeltaPSE;DeltaEA
1;S1;A;20;2;2;-141,7585647;0,632313735;3,443084585
2;S1;S;20;3;2;-45,23982437;5,407253128;-3,649421958
3;S1;S;40;1;3;20,607582;-6,78243391;-7,541896883
4;S2;A;20;3;3,666666667;-374,5809991;3,239706258;8,610773934
5;S2;S;20;1;1,833333333;248,3258439;-7,770982992;-20,26942012
6;S2;S;40;2;2,5;99,86818293;-0,72412555;-1,720008495
7;S3;A;20;1;0,833333333;30,02433004;4,273587281;-8,52047922
8;S3;S;20;2;2;-30,02433004;-1,308242506;0,836470262
9;S3;S;40;3;4;-61,58384786;1,756898188;-3,617897181
10;S4;A;20;2;0,333333333;-58,63984737;-2,798140312;-5,992307419
11;S4;S;20;3;0,833333333;49,0266746;0,19031644;7,783012309
12;S4;S;40;1;0,333333333;-72,08509219;4,643969197;6,500875341
13;S5;A;20;1;3,666666667;23,05841759;-2,896272634;-3,304591303
14;S5;S;20;3;1,833333333;0;2,307993308;-5,563526131
15;S5;S;40;2;2,333333333;0;1,206468776;-0,078541941
16;S6;A;20;2;0,666666667;25,02326709;0,683373219;-0,116144329
17;S6;S;20;1;3,666666667;-259,2777797;-2,794653333;-4,882178548
18;S6;S;40;3;4;154,1462553;-3,472288203;0,674876448
19;S7;A;20;1;4;248,9664204;-3,188085967;-10,23030142
20;S7;S;20;3;4,666666667;-409,5796499;5,442530444;2,326022274
21;S7;S;40;2;3,5;389,2026769;-0,455648519;6,287084455
22;S8;A;20;3;1,333333333;-424,4233498;-2,161950114;-9,104020865
23;S8;S;20;2;2,666666667;-68,30866511;8,25395488;3,439474769
24;S8;S;40;1;-0,166666667;0;-3,56571521;0,834578327
25;S9;A;20;1;-0,333333333;64,4047144;-2,283446416;6,021261547
26;S9;S;20;2;1,333333333;-126,3549262;-0,802644044;5,983811383
27;S9;S;40;3;-0,166666667;81,11510185;-1,281786376;-0,673448607
28;S10;A;20;2;0;17,50852185;-0,951789117;4,073527916
29;S10;S;20;1;1,333333333;207,0939095;3,765022059;-2,319647212
30;S10;S;40;3;1,5;189,6859965;1,454801479;-8,787846345
31;S11;A;20;2;0,833333333;-20,607582;3,869794769;-2,21758522
32;S11;S;20;3;3,333333333;98,21088807;1,933603699;-0,725001037
33;S11;S;40;1;3,833333333;221,5423445;-13,16754769;-1,556725626
34;S12;A;20;3;0,833333333;93,32221392;-8,680560401;-13,92351211
35;S12;S;20;1;0,833333333;134,7383778;-1,975158466;-3,139200289
36;S12;S;40;2;2,333333333;142,9386509;2,290232114;12,72575949
37;S13;A;20;3;-1,333333333;-105,4999207;3,308759319;11,45292693
38;S13;S;20;2;-0,166666667;-33,23631728;-0,998967449;-9,492187257
39;S13;S;40;1;3,166666667;133,7246248;-2,582142401;-7,599331769
40;S14;A;20;3;-1,166666667;0;-1,951348968;0,176611892
41;S14;S;20;1;1,333333333;58,63984737;-5,517788705;6,139752707
42;S14;S;40;2;1,5;292,519836;6,690781668;-3,978646392
43;S15;A;20;2;0,166666667;55,9353672;-0,149401711;-0,879143316
44;S15;S;20;3;2,166666667;-144,7041067;-1,464551688;-5,098802657
45;S15;S;40;1;3,5;33,23631728;-11,94451284;-6,109357746
46;S16;A;20;3;1,833333333;58,63984737;-3,085772227;2,484810098
47;S16;S;20;1;3;111,2170837;-2,043893721;2,324959365
48;S16;S;40;2;3;111,4677894;-4,185057523;7,373556405
49;S17;A;20;1;1,666666667;-30,9409769;1,02281669;-4,991535139
50;S17;S;20;2;3,5;0;7,095385144;-1,672109622
51;S17;S;40;3;3,5;69,24323189;-1,185225625;8,399450296
52;S18;A;20;3;-0,166666667;-51,14906297;-1,524407492;11,72703463
53;S18;S;20;1;5;-55,15715421;-13,23960325;-3,742884679
54;S18;S;40;2;4,166666667;137,1087602;9,983471803;3,405120469
55;S19;A;20;2;0,333333333;-162,3661467;0,879711472;-3,419237898
56;S19;S;20;3;3,666666667;-90,60950171;-1,786856898;3,263619539
57;S19;S;40;1;4;218,3015139;-4,050718979;2,515772982
58;S20;A;20;1;1,5;609,1762281;-1,328137046;-4,783422942
59;S20;S;20;2;2,833333333;-461,5441437;1,752922242;-4,384608079
60;S20;S;40;3;1,833333333;50,86213492;1,881424637;9,610608811
61;S21;A;20;1;3,833333333;61,87436243;-7,272614186;-1,600707655
62;S21;S;20;2;3;55,9353672;6,157675975;17,13313784
63;S21;S;40;3;2,166666667;55,9353672;-0,439607117;-2,064016185
64;S22;A;20;2;-0,166666667;-628,2548035;-1,947433232;4,984824762
65;S22;S;20;1;3;176,2636245;-2,256795943;-2,835340331
66;S22;S;40;3;1,5;63,69304331;3,686127631;2,844487441
67;S23;A;20;1;1;204,5392976;1,880095323;-5,337453834
68;S23;S;20;3;3,5;78,46891284;0,10554022;1,577760183
69;S23;S;40;2;3,833333333;0;1,536695112;6,842305151
70;S24;A;20;3;2;-102,4723204;-1,277327903;-0,056832631
71;S24;S;20;2;3,333333333;-313,3723847;4,003151455;0,214869801
72;S24;S;40;1;2,833333333;0;-2,428367533;-3,69986409
73;S25;A;20;1;-1,333333333;0;4,017351113;-11,19945448
74;S25;S;20;3;2,166666667;-162,3661467;4,025915114;1,62827275
75;S25;S;40;2;2,5;-218,3015139;-4,727360025;5,89439622
76;S26;A;20;2;1;-131,0878377;1,240605825;-13,21377688
77;S26;S;20;1;2,333333333;-18,62440427;-0,25410109;8,167871166
78;S26;S;40;3;2,166666667;-168,982738;1,041644336;1,231319027
79;S27;A;20;1;3,166666667;131,0878377;-3,84228698;-3,119728178
80;S27;S;20;3;5;-85,95969724;4,544039618;3,368220258
81;S27;S;40;2;3,333333333;0;1,556881991;-2,299399071
82;S28;A;20;1;3;16,52907588;-8,680539137;0,026657602
83;S28;S;20;2;2,666666667;123,0381403;2,328658857;0,350101892
84;S28;S;40;3;2,666666667;107,1141868;0,697080521;1,128415631
85;S29;A;20;2;-0,666666667;25,02326709;-2,040670193;0,991035391
86;S29;S;20;1;1,5;67,12495887;4,0711172;-11,26882187
87;S29;S;40;3;0,166666667;-99,86818293;-1,283492185;3,296935251
88;S30;A;20;3;3,5;0;2,401482413;-0,606113427
89;S30;S;20;2;3;25,02326709;-5,101022492;-3,135259096
90;S30;S;40;1;2,833333333;107,0844302;-0,949390883;-6,567804251
91;S31;A;20;3;1,833333333;85,95969724;4,355514634;-3,305871448
92;S31;S;20;1;3,666666667;78,46891284;1,144351122;-0,813101123
93;S31;S;40;2;2,166666667;-94,82016514;-3,97979099;-6,391005563
94;S32;A;20;3;-1,5;137,1087602;-2,506775719;-2,993080766
95;S32;S;20;2;2,833333333;30,02433004;5,989546455;-0,325801696
96;S32;S;40;1;5,333333333;20,607582;-5,208545857;-15,16285622
97;S33;A;20;3;-0,833333333;-25,02326709;2,783072694;-1,408511422
98;S33;S;20;2;2;0;-2,33978573;4,252954595
99;S33;S;40;1;3,5;20,607582;-5,886904103;-3,290738295
100;S34;A;20;1;3,333333333;-135,2960657;-3,039342683;-7,01043467
101;S34;S;20;3;4;41,97385181;-4,647163022;-4,934936427
102;S34;S;40;2;4;40,50809261;5,199225443;2,699878032
103;S35;A;20;2;2,833333333;0;2,874193104;-5,022091852
104;S35;S;20;1;2,5;90,1993652;-2,914546309;-0,195562989
105;S35;S;40;3;3,5;162,6273231;2,205239388;2,386040399
106;S36;A;20;2;2,333333333;-186,4623363;1,119336167;-13,20100176
107;S36;S;20;3;2,833333333;76,39544155;0,686062891;9,777561103
108;S36;S;40;1;2,833333333;85,95969724;-0,267175125;5,778028093
109;S37;A;20;3;3;-39,30736863;-1,688456509;3,414707872
110;S37;S;20;1;3;99,86818293;-0,581551908;4,807421196
111;S37;S;40;2;4,166666667;-292,519836;-3,430234064;-3,746709574
112;S38;A;20;1;4,5;-30,02433004;0,782755697;0,741348791
113;S38;S;20;2;4;45,23982437;2,26191484;-10,37150476
114;S38;S;40;3;4;254,1557346;-12,04726885;-2,055565155
115;S39;A;20;2;2,166666667;234,9034719;-1,68706216;4,124734024
116;S39;S;20;1;4,166666667;238,2020245;-5,842312631;3,747815986
117;S39;S;40;3;4,166666667;-133,7246248;-1,294094418;-5,085539969
118;S40;A;20;2;0;-72,08509219;-1,64341407;4,475194815
119;S40;S;20;3;3,333333333;24,00340752;-3,549063124;3,164527797
120;S40;S;40;1;3,666666667;168,982738;-2,107637728;-1,821564747
121;S41;A;20;1;-1,333333333;184,9125028;2,265726105;3,294174717
122;S41;S;20;2;1;23,05841759;0,836066485;2,074094888
123;S41;S;40;3;1;-111,2170837;-5,517217305;-9,748518005
124;S42;A;20;1;2,666666667;35,55655961;-3,293757952;-15,78084088
125;S42;S;20;3;3,5;41,97385181;-7,899804185;2,373418849
126;S42;S;40;2;2,666666667;93,32221392;13,39266242;8,487778746
127;S43;A;20;2;3;-23,05841759;-2,11869243;0,10811312
128;S43;S;20;1;5;85,95969724;-1,659651464;-2,695794667
129;S43;S;40;3;4;0;5,722476358;3,922369664
130;S44;A;20;1;1,166666667;313,3723847;-1,486137757;-9,86633348
131;S44;S;20;2;1,833333333;0;-8,547926245;14,4946607
132;S44;S;40;3;2;617,8299785;5,277650821;-10,22933001
133;S45;A;20;3;0,166666667;-98,35487822;1,880039541;-3,041600414
134;S45;S;20;2;2,5;0;-5,839519804;-2,845555574
135;S45;S;40;1;1,833333333;262,2233217;-1,548580831;1,768351956
136;S46;A;20;2;-1,666666667;0;4,602358228;-1,528091896
137;S46;S;20;3;1;-131,1175943;-1,488474295;3,401513901
138;S46;S;40;1;1,5;81,11510185;-4,842134472;0,064358003
139;S47;A;20;1;-0,333333333;-35,07234783;-4,856425748;-4,850568373
140;S47;S;20;3;1;118,1536712;6,55276646;8,748967429
141;S47;S;40;2;2,166666667;-197,6996709;-1,740772056;-3,301436057
142;S48;A;20;1;0,666666667;-112,0854931;-4,615071938;-2,086922351
143;S48;S;20;2;2,166666667;206,2879545;7,496026447;11,10320928
144;S48;S;40;3;3,166666667;296,0545491;-7,984683559;-10,04226562
145;S49;A;20;3;0,166666667;51,14906297;2,448806651;-5,756354516
146;S49;S;20;1;2,166666667;66,60609419;0,907143467;-0,777772557
147;S49;S;40;2;3,666666667;150,3583337;4,928330017;4,027566529
148;S50;A;20;2;-1,5;-137,1087602;-0,335855297;-6,170137834
149;S50;S;20;1;2,833333333;168,668278;-2,852816622;6,761354593
150;S50;S;40;3;2,833333333;0;3,221488873;-0,152143914
151;S51;A;20;3;-0,666666667;98,21088807;12,09551158;1,34409184
152;S51;S;20;2;2,333333333;-47,0618251;0,308873404;3,173517526
153;S51;S;40;1;3,333333333;64,1552586;-4,656098342;-5,445573259
154;S52;A;20;2;0;118,1536712;-4,516215399;-1,677930536
155;S52;S;20;3;2,833333333;-58,63984737;9,961262739;0,169192639
156;S52;S;40;1;3,5;30,02433004;-1,911911316;8,234827759
157;S53;A;20;2;-1,333333333;23,05841759;-1,722506373;3,941108898
158;S53;S;20;1;1,333333333;300,0021439;-8,432785614;0,822906278
159;S53;S;40;3;0,833333333;125,5307379;2,67351325;-9,485254669
160;S54;A;20;1;0,5;0;-4,264549238;7,74460143
161;S54;S;20;3;1,5;237,6439259;0,558615347;1,720159894
162;S54;S;40;2;1,166666667;-122,5803583;4,351073317;-8,928436425
163;S55;A;20;3;-1,5;0;-6,97201511;-7,892122679
164;S55;S;20;2;1,666666667;-78,37323631;4,774040264;4,312314358
165;S55;S;40;1;1,833333333;-152,2991126;-7,852520431;-3,504794364
166;S56;A;20;1;-0,666666667;69,24323189;-6,413327814;8,470820408
167;S56;S;20;2;1,666666667;43,5476766;7,689731988;-2,913936838
168;S56;S;40;3;2,166666667;-111,2170837;1,486209878;-6,002237464
169;S57;A;20;3;1,666666667;41,97385181;7,418925462;0,897437883
170;S57;S;20;1;4,333333333;107,1141868;2,709498725;10,18359846
171;S57;S;40;2;3;120,3922949;-9,827337967;-2,716607962
172;S58;A;20;1;3,166666667;166,9805859;-2,099518939;-6,909657321
173;S58;S;20;3;2,333333333;61,58384786;-6,1709653;-20,58698517
174;S58;S;40;2;2,333333333;99,86818293;5,228145961;16,64509303
175;S59;A;20;3;-0,833333333;-43,5476766;1,534112985;-3,651966561
176;S59;S;20;1;5;37,8651437;1,031209965;1,182424189
177;S59;S;40;2;5;19,90051061;-4,008042802;0,315449233
178;S60;A;20;3;1;0;-1,575658002;8,611156696
179;S60;S;20;1;3,333333333;25,02326709;-2,444438051;-3,448057392
180;S60;S;40;2;2,166666667;66,60609419;0,69051738;-1,363383153
181;S61;A;20;1;0;26,12579588;3,959876108;-8,011715242
182;S61;S;20;2;2,333333333;-53,44564575;-1,551907964;8,197749014
183;S61;S;40;3;-0,166666667;-120,3922949;-6,135303541;-3,240006119
184;S62;A;20;3;1,5;40,50809261;-0,426985046;-3,702901929
185;S62;S;20;2;2,166666667;187,0307758;-1,690169704;3,090392953
186;S62;S;40;1;2,333333333;-95,814745;-0,431746469;-12,30128209
187;S63;A;20;2;-2,666666667;-206,2879545;-1,292318146;1,862825288
188;S63;S;20;3;2;136,9562559;2,739691193;-0,111120892
189;S63;S;40;1;2,5;195,5961032;-0,305849834;-1,762676764
190;S64;A;20;2;-0,166666667;39,30736863;3,184588808;-10,29814658
191;S64;S;20;1;4,333333333;51,14906297;-8,986085465;15,48540671
192;S64;S;40;3;1,666666667;210,1200663;2,740585298;8,389051231
193;S65;A;20;1;2,5;-26,47168577;-4,52598573;-1,103348975
194;S65;S;20;2;1,666666667;13,10777948;0,270950475;-5,117659957
195;S65;S;40;3;1,833333333;14,23217995;2,123346511;4,078447601
196;S66;A;20;3;0;-274,0650161;0,730698375;7,06904899
197;S66;S;20;2;1,166666667;37,08807292;-2,632294306;-19,89171506
198;S66;S;40;1;1;0;-3,417188068;18,120714
199;S67;A;20;1;1,666666667;422,0737424;-2,35179852;11,38712552
200;S67;S;20;3;3,166666667;122,5803583;3,153514905;4,443637415
201;S67;S;40;2;3;239,2245455;-9,14676464;-11,26419856
202;S68;A;20;2;-0,666666667;0;0,552417918;-5,778806706
203;S68;S;20;1;4,333333333;-30,02433004;-2,722232901;-6,524901688
204;S68;S;40;3;3,333333333;0;3,299724295;8,209960667
205;S69;A;20;2;4;-24,00340752;-3,226522982;-5,920317488
206;S69;S;20;3;4;0;13,2337516;7,667157362
207;S69;S;40;1;4;55,9353672;-0,87265046;4,968136794
