Subject;PM 20A Pre;PM 20A Post;PM 20S Pre;PM 20S Post;PM 40S Pre;PM 40S Post;PD 20A;PD 20S;PD 40S
1;742,3661467;600,607582;667,2136762;621,9738518;580;600,607582;-141,7585647;-45,23982437;20,607582
2;1090,82135;716,2403508;580;828,3258439;828,3258439;928,1940268;-374,5809991;248,3258439;99,86818293
3;798,3015139;828,3258439;828,3258439;798,3015139;859,8853617;798,3015139;30,02433004;-30,02433004;-61,58384786
4;828,3258439;769,6859965;667,2136762;716,2403508;716,2403508;644,1552586;-58,63984737;49,0266746;-72,08509219
5;644,1552586;667,2136762;828,3258439;828,3258439;928,1940268;928,1940268;23,05841759;0;0
6;691,2170837;716,2403508;859,8853617;600,607582;644,1552586;798,3015139;25,02326709;-259,2777797;154,1462553
7;644,1552586;893,121679;1302,701329;893,121679;1046,347698;1435,550375;248,9664204;-409,5796499;389,2026769
8;965,2820998;540,85875;928,1940268;859,8853617;859,8853617;859,8853617;-424,4233498;-68,30866511;0
9;270,4584417;334,8631561;667,2136762;540,85875;540,85875;621,9738518;64,4047144;-126,3549262;81,11510185
10;486,6777861;504,1863079;437,0613491;644,1552586;580;769,6859965;17,50852185;207,0939095;189,6859965
11;600,607582;580;644,1552586;742,3661467;469,6747393;691,2170837;-20,607582;98,21088807;221,5423445
12;486,6777861;580;406,1203722;540,85875;437,0613491;580;93,32221392;134,7383778;142,9386509
13;1243,814014;1138,314093;893,121679;859,8853617;1004,589468;1138,314093;-105,4999207;-33,23631728;133,7246248
14;798,3015139;798,3015139;769,6859965;828,3258439;798,3015139;1090,82135;0;58,63984737;292,519836
15;742,3661467;798,3015139;1004,589468;859,8853617;859,8853617;893,121679;55,9353672;-144,7041067;33,23631728
16;769,6859965;828,3258439;580;691,2170837;893,121679;1004,589468;58,63984737;111,2170837;111,4677894
17;437,0613491;406,1203722;580;580;621,9738518;691,2170837;-30,9409769;0;69,24323189
18;742,3661467;691,2170837;376,6564041;321,4992498;691,2170837;828,3258439;-51,14906297;-55,15715421;137,1087602
19;742,3661467;580;691,2170837;600,607582;580;798,3015139;-162,3661467;-90,60950171;218,3015139
20;580;1189,176228;1897,094519;1435,550375;1138,314093;1189,176228;609,1762281;-461,5441437;50,86213492
21;560,0994894;621,9738518;742,3661467;798,3015139;742,3661467;798,3015139;61,87436243;55,9353672;55,9353672
22;1593,536903;965,2820998;828,3258439;1004,589468;1302,701329;1366,394372;-628,2548035;176,2636245;63,69304331
23;486,6777861;691,2170837;691,2170837;769,6859965;691,2170837;691,2170837;204,5392976;78,46891284;0
24;769,6859965;667,2136762;1004,589468;691,2170837;1004,589468;1004,589468;-102,4723204;-313,3723847;0
25;691,2170837;691,2170837;742,3661467;580;798,3015139;580;0;-162,3661467;-218,3015139
26;798,3015139;667,2136762;540,85875;522,2343457;691,2170837;522,2343457;-131,0878377;-18,62440427;-168,982738
27;667,2136762;798,3015139;828,3258439;742,3661467;828,3258439;828,3258439;131,0878377;-85,95969724;0
28;453,1456634;469,6747393;437,0613491;560,0994894;560,0994894;667,2136762;16,52907588;123,0381403;107,1141868
29;691,2170837;716,2403508;437,0613491;504,1863079;928,1940268;828,3258439;25,02326709;67,12495887;-99,86818293
30;691,2170837;691,2170837;691,2170837;716,2403508;691,2170837;798,3015139;0;25,02326709;107,0844302
31;742,3661467;828,3258439;691,2170837;769,6859965;893,121679;798,3015139;85,95969724;78,46891284;-94,82016514
32;691,2170837;828,3258439;798,3015139;828,3258439;580;600,607582;137,1087602;30,02433004;20,607582
33;716,2403508;691,2170837;667,2136762;667,2136762;580;600,607582;-25,02326709;0;20,607582
34;621,9738518;486,6777861;580;621,9738518;560,0994894;600,607582;-135,2960657;41,97385181;40,50809261
35;828,3258439;828,3258439;769,6859965;859,8853617;928,1940268;1090,82135;0;90,1993652;162,6273231
36;1046,347698;859,8853617;928,1940268;1004,589468;742,3661467;828,3258439;-186,4623363;76,39544155;85,95969724
37;1004,589468;965,2820998;828,3258439;928,1940268;1090,82135;798,3015139;-39,30736863;99,86818293;-292,519836
38;828,3258439;798,3015139;621,9738518;667,2136762;437,0613491;691,2170837;-30,02433004;45,23982437;254,1557346
39;769,6859965;1004,589468;560,0994894;798,3015139;1138,314093;1004,589468;234,9034719;238,2020245;-133,7246248
40;716,2403508;644,1552586;667,2136762;691,2170837;522,2343457;691,2170837;-72,08509219;24,00340752;168,982738
41;437,0613491;621,9738518;644,1552586;667,2136762;691,2170837;580;184,9125028;23,05841759;-111,2170837
42;486,6777861;522,2343457;580;621,9738518;486,6777861;580;35,55655961;41,97385181;93,32221392
43;667,2136762;644,1552586;742,3661467;828,3258439;644,1552586;644,1552586;-23,05841759;85,95969724;0
44;691,2170837;1004,589468;893,121679;893,121679;893,121679;1510,951658;313,3723847;0;617,8299785
45;1189,176228;1090,82135;1004,589468;1004,589468;742,3661467;1004,589468;-98,35487822;0;262,2233217
46;621,9738518;621,9738518;691,2170837;560,0994894;540,85875;621,9738518;0;-131,1175943;81,11510185
47;928,1940268;893,121679;928,1940268;1046,347698;1090,82135;893,121679;-35,07234783;118,1536712;-197,6996709
48;828,3258439;716,2403508;798,3015139;1004,589468;893,121679;1189,176228;-112,0854931;206,2879545;296,0545491
49;691,2170837;742,3661467;600,607582;667,2136762;540,85875;691,2170837;51,14906297;66,60609419;150,3583337
50;828,3258439;691,2170837;691,2170837;859,8853617;691,2170837;691,2170837;-137,1087602;168,668278;0
51;644,1552586;742,3661467;691,2170837;644,1552586;580;644,1552586;98,21088807;-47,0618251;64,1552586
52;928,1940268;1046,347698;828,3258439;769,6859965;798,3015139;828,3258439;118,1536712;-58,63984737;30,02433004
53;644,1552586;667,2136762;391,2149398;691,2170837;644,1552586;769,6859965;23,05841759;300,0021439;125,5307379
54;965,2820998;965,2820998;1785,056452;2022,700377;1366,394372;1243,814014;0;237,6439259;-122,5803583
55;540,85875;540,85875;600,607582;522,2343457;621,9738518;469,6747393;0;-78,37323631;-152,2991126
56;621,9738518;691,2170837;600,607582;644,1552586;691,2170837;580;69,24323189;43,5476766;-111,2170837
57;580;621,9738518;560,0994894;667,2136762;621,9738518;742,3661467;41,97385181;107,1141868;120,3922949
58;798,3015139;965,2820998;798,3015139;859,8853617;828,3258439;928,1940268;166,9805859;61,58384786;99,86818293
59;644,1552586;600,607582;522,2343457;560,0994894;560,0994894;580;-43,5476766;37,8651437;19,90051061
60;486,6777861;486,6777861;691,2170837;716,2403508;600,607582;667,2136762;0;25,02326709;66,60609419
61;716,2403508;742,3661467;769,6859965;716,2403508;742,3661467;621,9738518;26,12579588;-53,44564575;-120,3922949
62;560,0994894;600,607582;504,1863079;691,2170837;295,5247607;199,7100157;40,50809261;187,0307758;-95,814745
63;1004,589468;798,3015139;828,3258439;965,2820998;769,6859965;965,2820998;-206,2879545;136,9562559;195,5961032
64;965,2820998;1004,589468;691,2170837;742,3661467;928,1940268;1138,314093;39,30736863;51,14906297;210,1200663
65;334,8631561;308,3914704;308,3914704;321,4992498;362,4242241;376,6564041;-26,47168577;13,10777948;14,23217995
66;965,2820998;691,2170837;928,1940268;965,2820998;859,8853617;859,8853617;-274,0650161;37,08807292;0
67;716,2403508;1138,314093;1243,814014;1366,394372;1004,589468;1243,814014;422,0737424;122,5803583;239,2245455
68;859,8853617;859,8853617;828,3258439;798,3015139;1004,589468;1004,589468;0;-30,02433004;0
69;691,2170837;667,2136762;691,2170837;691,2170837;742,3661467;798,3015139;-24,00340752;0;55,9353672
